collection_date,IAV_Eastern,IAV_Northwest,IAV_South,Test_East,Test_North,Test_South,Positive_East,Positive_North,Positive_South
2022/1/1,,,,0,0,0,0,0,0
2022/1/2,,,,0,0,0,0,0,0
2022/1/3,,,,0,0,0,0,0,0
2022/1/4,,,,0,0,0,0,0,0
2022/1/5,,,,0,0,0,0,0,0
2022/1/6,,,,0,0,0,0,0,0
2022/1/7,,,,0,0,0,0,0,0
2022/1/8,,,,0,0,0,0,0,0
2022/1/9,,,,0,0,0,0,0,0
2022/1/10,,,,0,0,0,0,0,0
2022/1/11,,,,0,0,0,0,0,0
2022/1/12,,,,0,0,0,0,0,0
2022/1/13,,,,0,0,0,0,0,0
2022/1/14,,,,0,0,0,0,0,0
2022/1/15,,,,0,0,0,0,0,0
2022/1/16,,,,0,0,0,0,0,0
2022/1/17,,,,0,0,0,0,0,0
2022/1/18,,,,0,0,0,0,0,0
2022/1/19,,,,0,0,0,0,0,0
2022/1/20,,,,0,0,0,0,0,0
2022/1/21,,,,0,0,0,0,0,0
2022/1/22,,,,0,0,0,0,0,0
2022/1/23,,,,0,0,0,0,0,0
2022/1/24,,,,0,0,0,0,0,0
2022/1/25,,,,0,0,0,0,0,0
2022/1/26,,,,0,0,0,0,0,0
2022/1/27,,,,0,0,0,0,0,0
2022/1/28,,,,0,0,0,0,0,0
2022/1/29,,,,0,0,0,0,0,0
2022/1/30,,,,0,0,0,0,0,0
2022/1/31,,,,0,0,0,0,0,0
2022/2/1,,,,0,0,0,0,0,0
2022/2/2,,,,0,0,0,0,0,0
2022/2/3,,,,0,0,0,0,0,0
2022/2/4,,,,0,0,0,0,0,0
2022/2/5,,,,0,0,0,0,0,0
2022/2/6,,,,0,0,0,0,0,0
2022/2/7,,,,0,0,0,0,0,0
2022/2/8,,,,0,0,0,0,0,0
2022/2/9,,,,0,0,0,0,0,0
2022/2/10,,,,0,0,0,0,0,0
2022/2/11,,,,0,0,0,0,0,0
2022/2/12,,,,0,0,0,0,0,0
2022/2/13,,,,0,0,0,0,0,0
2022/2/14,,,,0,0,0,0,0,0
2022/2/15,,,,0,0,0,0,0,0
2022/2/16,,,,0,0,0,0,0,0
2022/2/17,,,,0,0,0,0,0,0
2022/2/18,,,,0,0,0,0,0,0
2022/2/19,,,,0,0,0,0,0,0
2022/2/20,,,,0,0,0,0,0,0
2022/2/21,,,,0,0,0,0,0,0
2022/2/22,,,,0,0,0,0,0,0
2022/2/23,,,,0,0,0,0,0,0
2022/2/24,,,,0,0,0,0,0,0
2022/2/25,,,,0,0,0,0,0,0
2022/2/26,,,,0,0,0,0,0,0
2022/2/27,,,,0,0,0,0,0,0
2022/2/28,,,,0,0,0,0,0,0
2022/3/1,,,,0,0,0,0,0,0
2022/3/2,,,,0,0,0,0,0,0
2022/3/3,,,,0,0,0,0,0,0
2022/3/4,,,,0,0,0,0,0,0
2022/3/5,,,,0,0,0,0,0,0
2022/3/6,,,,0,0,0,0,0,0
2022/3/7,,,,0,0,0,0,0,0
2022/3/8,,,,0,0,0,0,0,0
2022/3/9,,,,0,0,0,0,0,0
2022/3/10,,,,0,0,0,0,0,0
2022/3/11,,,,0,0,0,0,0,0
2022/3/12,,,,0,0,0,0,0,0
2022/3/13,,,,0,0,0,0,0,0
2022/3/14,,,,0,0,0,0,0,0
2022/3/15,,,,0,0,0,0,0,0
2022/3/16,,,,0,0,0,0,0,0
2022/3/17,,,,0,0,0,0,0,0
2022/3/18,,,,0,0,0,0,0,0
2022/3/19,,,,0,0,0,0,0,0
2022/3/20,,,,0,0,0,0,0,0
2022/3/21,,,,0,0,0,0,0,0
2022/3/22,,,,0,0,0,0,0,0
2022/3/23,,,,0,0,0,0,0,0
2022/3/24,,,,0,0,0,0,0,0
2022/3/25,,,,0,0,0,0,0,0
2022/3/26,,,,0,0,0,0,0,0
2022/3/27,,,,0,0,0,0,0,0
2022/3/28,,,,0,0,0,0,0,0
2022/3/29,,,,0,0,0,0,0,0
2022/3/30,,,,0,0,0,0,0,0
2022/3/31,,,,0,0,0,0,0,0
2022/4/1,,,,0,0,0,0,0,0
2022/4/2,,,,0,0,0,0,0,0
2022/4/3,500,500,1943.501571,1,1,1,0,0,1
2022/4/4,,,,0,0,0,0,0,0
2022/4/5,500,7759.20365,2248.494938,1,1,1,0,1,1
2022/4/6,,,,0,0,0,0,0,0
2022/4/7,6517.235968,12803.8138,500,1,1,1,1,1,0
2022/4/8,,,,0,0,0,0,0,0
2022/4/9,,,,0,0,0,0,0,0
2022/4/10,500,500,8512.990517,1,1,1,0,0,1
2022/4/11,,,,0,0,0,0,0,0
2022/4/12,8491.893024,4782.797798,3010.856254,1,1,1,1,1,1
2022/4/13,,,,0,0,0,0,0,0
2022/4/14,2863.875122,500,7085.269078,1,1,1,1,0,1
2022/4/15,,,,0,0,0,0,0,0
2022/4/16,,,,0,0,0,0,0,0
2022/4/17,22096.62029,500,6977.550189,1,1,1,1,0,1
2022/4/18,,,,0,0,0,0,0,0
2022/4/19,5633.701473,500,2199.326209,1,1,1,1,0,1
2022/4/20,,,,0,0,0,0,0,0
2022/4/21,500,3581.196991,500,1,1,1,0,1,0
2022/4/22,,,,0,0,0,0,0,0
2022/4/23,,,,0,0,0,0,0,0
2022/4/24,500,4698.631528,500,1,1,1,0,1,0
2022/4/25,,,,0,0,0,0,0,0
2022/4/26,9989.297929,18979.54682,4560.797918,1,1,1,1,1,1
2022/4/27,,,,0,0,0,0,0,0
2022/4/28,5673.604094,6255.534631,500,1,1,1,1,1,0
2022/4/29,,,,0,0,0,0,0,0
2022/4/30,,,,0,0,0,0,0,0
2022/5/1,17255.71987,500,2481.91298,1,1,1,1,0,1
2022/5/2,,,,0,0,0,0,0,0
2022/5/3,7080.816353,8065.139175,5242.048166,1,1,1,1,1,1
2022/5/4,,,,0,0,0,0,0,0
2022/5/5,4998.071758,10738.24035,5043.617098,1,1,1,1,1,1
2022/5/6,,,,0,0,0,0,0,0
2022/5/7,,,,0,0,0,0,0,0
2022/5/8,500,8741.184076,500,1,1,1,0,1,0
2022/5/9,,,,0,0,0,0,0,0
2022/5/10,500,17802.93503,6206.26831,1,1,1,0,1,1
2022/5/11,,,,0,0,0,0,0,0
2022/5/12,7188.149068,6162.98433,500,1,1,1,1,1,0
2022/5/13,,,,0,0,0,0,0,0
2022/5/14,,,,0,0,0,0,0,0
2022/5/15,9421.152855,7702.257536,4945.583445,1,1,1,1,1,1
2022/5/16,,,,0,0,0,0,0,0
2022/5/17,12089.28406,28555.94718,2750.699647,1,1,1,1,1,1
2022/5/18,,,,0,0,0,0,0,0
2022/5/19,500,500,500,1,1,1,0,0,0
2022/5/20,,,,0,0,0,0,0,0
2022/5/21,,,,0,0,0,0,0,0
2022/5/22,5846.685713,9128.363571,10183.99424,1,1,1,1,1,1
2022/5/23,,,,0,0,0,0,0,0
2022/5/24,8706.912226,16673.59439,4156.798695,1,1,1,1,1,1
2022/5/25,,,,0,0,0,0,0,0
2022/5/26,15518.27957,16578.31325,6283.105023,1,1,1,1,1,1
2022/5/27,,,,0,0,0,0,0,0
2022/5/28,,,,0,0,0,0,0,0
2022/5/29,21299.09684,46291.43916,17777.3145,1,1,1,1,1,1
2022/5/30,,,,0,0,0,0,0,0
2022/5/31,15030.76457,59677.86384,18724.21651,1,1,1,1,1,1
2022/6/1,,,,0,0,0,0,0,0
2022/6/2,14734.46328,28190.47619,16666.66667,1,1,1,1,1,1
2022/6/3,,,,0,0,0,0,0,0
2022/6/4,,,,0,0,0,0,0,0
2022/6/5,13313.40926,11316.30411,18712.22088,1,1,1,1,1,1
2022/6/6,,,,0,0,0,0,0,0
2022/6/7,6739.230288,13210.57681,7772.029736,1,1,1,1,1,1
2022/6/8,,,,0,0,0,0,0,0
2022/6/9,19091.40562,12849.23077,7211.935467,1,1,1,1,1,1
2022/6/10,,,,0,0,0,0,0,0
2022/6/11,,,,0,0,0,0,0,0
2022/6/12,11051.36612,9866.666667,4753.805774,1,1,1,1,1,1
2022/6/13,,,,0,0,0,0,0,0
2022/6/14,27604.39258,7644.337321,500,1,1,1,1,1,0
2022/6/15,,,,0,0,0,0,0,0
2022/6/16,500,7991.87409,2526.921788,1,1,1,0,1,1
2022/6/17,,,,0,0,0,0,0,0
2022/6/18,,,,0,0,0,0,0,0
2022/6/19,2728.145477,9211.926327,9058.774254,1,1,1,1,1,1
2022/6/20,,,,0,0,0,0,0,0
2022/6/21,14011.34788,500,7012.388251,1,1,1,1,0,1
2022/6/22,,,,0,0,0,0,0,0
2022/6/23,8711.918257,500,500,1,1,1,1,0,0
2022/6/24,,,,0,0,0,0,0,0
2022/6/25,,,,0,0,0,0,0,0
2022/6/26,500,500,500,1,1,1,0,0,0
2022/6/27,,,,0,0,0,0,0,0
2022/6/28,500,500,5925.240615,1,1,1,0,0,1
2022/6/29,,,,0,0,0,0,0,0
2022/6/30,500,500,500,1,1,1,0,0,0
2022/7/1,,,,0,0,0,0,0,0
2022/7/2,,,,0,0,0,0,0,0
2022/7/3,500,5557.645801,500,1,1,1,0,1,0
2022/7/4,,,,0,0,0,0,0,0
2022/7/5,500,500,4271.540089,1,1,1,0,0,1
2022/7/6,,,,0,0,0,0,0,0
2022/7/7,500,500,500,1,1,1,0,0,0
2022/7/8,,,,0,0,0,0,0,0
2022/7/9,,,,0,0,0,0,0,0
2022/7/10,500,500,500,1,1,1,0,0,0
2022/7/11,,,,0,0,0,0,0,0
2022/7/12,6752.807341,500,500,1,1,1,1,0,0
2022/7/13,,,,0,0,0,0,0,0
2022/7/14,500,500,500,1,1,1,0,0,0
2022/7/15,,,,0,0,0,0,0,0
2022/7/16,,,,0,0,0,0,0,0
2022/7/17,500,500,500,1,1,1,0,0,0
2022/7/18,,,,0,0,0,0,0,0
2022/7/19,500,500,500,1,1,1,0,0,0
2022/7/20,,,,0,0,0,0,0,0
2022/7/21,500,500,500,1,1,1,0,0,0
2022/7/22,,,,0,0,0,0,0,0
2022/7/23,,,,0,0,0,0,0,0
2022/7/24,500,500,500,1,1,1,0,0,0
2022/7/25,,,,0,0,0,0,0,0
2022/7/26,3500.321147,500,500,1,1,1,1,0,0
2022/7/27,,,,0,0,0,0,0,0
2022/7/28,500,500,500,1,1,1,0,0,0
2022/7/29,,,,0,0,0,0,0,0
2022/7/30,,,,0,0,0,0,0,0
2022/7/31,500,500,500,1,1,1,0,0,0
2022/8/1,,,,0,0,0,0,0,0
2022/8/2,500,500,500,1,1,1,0,0,0
2022/8/3,,,,0,0,0,0,0,0
2022/8/4,500,500,500,1,1,1,0,0,0
2022/8/5,,,,0,0,0,0,0,0
2022/8/6,,,,0,0,0,0,0,0
2022/8/7,500,500,500,1,1,1,0,0,0
2022/8/8,,,,0,0,0,0,0,0
2022/8/9,15161.76088,500,500,1,1,1,1,0,0
2022/8/10,,,,0,0,0,0,0,0
2022/8/11,7076.88729,500,500,1,1,1,1,0,0
2022/8/12,,,,0,0,0,0,0,0
2022/8/13,,,,0,0,0,0,0,0
2022/8/14,500,500,500,1,1,1,0,0,0
2022/8/15,,,,0,0,0,0,0,0
2022/8/16,500,500,500,1,1,1,0,0,0
2022/8/17,,,,0,0,0,0,0,0
2022/8/18,500,500,500,1,1,1,0,0,0
2022/8/19,,,,0,0,0,0,0,0
2022/8/20,,,,0,0,0,0,0,0
2022/8/21,500,500,500,1,1,1,0,0,0
2022/8/22,,,,0,0,0,0,0,0
2022/8/23,500,500,500,1,1,1,0,0,0
2022/8/24,,,,0,0,0,0,0,0
2022/8/25,500,500,500,1,1,1,0,0,0
2022/8/26,,,,0,0,0,0,0,0
2022/8/27,,,,0,0,0,0,0,0
2022/8/28,500,500,500,1,1,1,0,0,0
2022/8/29,,,,0,0,0,0,0,0
2022/8/30,500,500,500,1,1,1,0,0,0
2022/8/31,,,,0,0,0,0,0,0
2022/9/1,500,500,500,1,1,1,0,0,0
2022/9/2,,,,0,0,0,0,0,0
2022/9/3,,,,0,0,0,0,0,0
2022/9/4,500,500,500,1,1,1,0,0,0
2022/9/5,,,,0,0,0,0,0,0
2022/9/6,500,500,500,1,1,1,0,0,0
2022/9/7,,,,0,0,0,0,0,0
2022/9/8,500,500,500,1,1,1,0,0,0
2022/9/9,,,,0,0,0,0,0,0
2022/9/10,,,,0,0,0,0,0,0
2022/9/11,500,500,500,1,1,1,0,0,0
2022/9/12,,,,0,0,0,0,0,0
2022/9/13,500,500,500,1,1,1,0,0,0
2022/9/14,,,,0,0,0,0,0,0
2022/9/15,6798.884016,500,500,1,1,1,1,0,0
2022/9/16,,,,0,0,0,0,0,0
2022/9/17,,,,0,0,0,0,0,0
2022/9/18,500,500,500,1,1,1,0,0,0
2022/9/19,,,,0,0,0,0,0,0
2022/9/20,500,500,500,1,1,1,0,0,0
2022/9/21,,,,0,0,0,0,0,0
2022/9/22,4796.077066,500,500,1,1,1,1,0,0
2022/9/23,,,,0,0,0,0,0,0
2022/9/24,,,,0,0,0,0,0,0
2022/9/25,500,500,500,1,1,1,0,0,0
2022/9/26,,,,0,0,0,0,0,0
2022/9/27,,,,0,0,0,0,0,0
2022/9/28,,,,0,0,0,0,0,0
2022/9/29,,,,0,0,0,0,0,0
2022/9/30,,,,0,0,0,0,0,0
2022/10/1,,,,0,0,0,0,0,0
2022/10/2,500,4510.930356,500,1,1,1,0,1,0
2022/10/3,,,,0,0,0,0,0,0
2022/10/4,7383.589312,500,9841.259449,1,1,1,1,0,1
2022/10/5,,,,0,0,0,0,0,0
2022/10/6,,,,0,0,0,0,0,0
2022/10/7,500,500,5974.68799,1,1,1,0,0,1
2022/10/8,,,,0,0,0,0,0,0
2022/10/9,500,500,4036.588848,1,1,1,0,0,1
2022/10/10,,,,0,0,0,0,0,0
2022/10/11,500,500,500,1,1,1,0,0,0
2022/10/12,,,,0,0,0,0,0,0
2022/10/13,500,500,500,1,1,1,0,0,0
2022/10/14,,,,0,0,0,0,0,0
2022/10/15,,,,0,0,0,0,0,0
2022/10/16,5003.901517,500,14935.38708,1,1,1,1,0,1
2022/10/17,,,,0,0,0,0,0,0
2022/10/18,500,500,17722.50235,1,1,1,0,0,1
2022/10/19,,,,0,0,0,0,0,0
2022/10/20,4616.63025,500,6944.248586,1,1,1,1,0,1
2022/10/21,,,,0,0,0,0,0,0
2022/10/22,,,,0,0,0,0,0,0
2022/10/23,5514.220945,500,11553.6284,1,1,1,1,0,1
2022/10/24,,,,0,0,0,0,0,0
2022/10/25,8398.627705,10094.51376,11125.5948,1,1,1,1,1,1
2022/10/26,,,,0,0,0,0,0,0
2022/10/27,9960.866968,8575.141767,9592.647676,1,1,1,1,1,1
2022/10/28,,,,0,0,0,0,0,0
2022/10/29,,,,0,0,0,0,0,0
2022/10/30,3529.929623,3279.539538,14772.31368,1,1,1,1,1,1
2022/10/31,,,,0,0,0,0,0,0
2022/11/1,21232.06313,26887.39564,19263.33862,1,1,1,1,1,1
2022/11/2,,,,0,0,0,0,0,0
2022/11/3,13982.34937,6875.47886,17956.95045,1,1,1,1,1,1
2022/11/4,,,,0,0,0,0,0,0
2022/11/5,,,,0,0,0,0,0,0
2022/11/6,34825.42122,10160.7934,33237.81184,1,1,1,1,1,1
2022/11/7,,,,0,0,0,0,0,0
2022/11/8,,,,0,0,0,0,0,0
2022/11/9,,,,0,0,0,0,0,0
2022/11/10,42802.15104,10355.61648,16448.72813,1,1,1,1,1,1
2022/11/11,,,,0,0,0,0,0,0
2022/11/12,,,,0,0,0,0,0,0
2022/11/13,24683.82472,7873.780372,20046.00039,1,1,1,1,1,1
2022/11/14,,,,0,0,0,0,0,0
2022/11/15,14399.59495,12785.94238,19480.4893,1,1,1,1,1,1
2022/11/16,,,,0,0,0,0,0,0
2022/11/17,23315.60718,6629.937826,12453.96511,1,1,1,1,1,1
2022/11/18,,,,0,0,0,0,0,0
2022/11/19,,,,0,0,0,0,0,0
2022/11/20,26907.12384,26095.41092,83922.81676,1,1,1,1,1,1
2022/11/21,,,,0,0,0,0,0,0
2022/11/22,,,,0,0,0,0,0,0
2022/11/23,,,,0,0,0,0,0,0
2022/11/24,,,,0,0,0,0,0,0
2022/11/25,,,,0,0,0,0,0,0
2022/11/26,,,,0,0,0,0,0,0
2022/11/27,35242.97308,15793.54237,9782.880277,1,1,1,1,1,1
2022/11/28,,,,0,0,0,0,0,0
2022/11/29,30802.91646,23540.94282,71081.05251,1,1,1,1,1,1
2022/11/30,,,,0,0,0,0,0,0
2022/12/1,34677.86939,4360.823055,37982.91859,1,1,1,1,1,1
2022/12/2,,,,0,0,0,0,0,0
2022/12/3,,,,0,0,0,0,0,0
2022/12/4,25666.61933,18442.52647,42534.76922,1,1,1,1,1,1
2022/12/5,,,,0,0,0,0,0,0
2022/12/6,32827.1394,24308.47804,40255.41256,1,1,1,1,1,1
2022/12/7,,,,0,0,0,0,0,0
2022/12/8,9332.737486,24143.714,51140.04943,1,1,1,1,1,1
2022/12/9,,,,0,0,0,0,0,0
2022/12/10,,,,0,0,0,0,0,0
2022/12/11,37590.25644,17030.86164,79489.21466,1,1,1,1,1,1
2022/12/12,,,,0,0,0,0,0,0
2022/12/13,28216.43068,7949.50738,32482.63363,1,1,1,1,1,1
2022/12/14,,,,0,0,0,0,0,0
2022/12/15,23434.28352,29519.87215,64125.61409,1,1,1,1,1,1
2022/12/16,,,,0,0,0,0,0,0
2022/12/17,,,,0,0,0,0,0,0
2022/12/18,28182.98723,8489.796884,14965.60664,1,1,1,1,1,1
2022/12/19,,,,0,0,0,0,0,0
2022/12/20,,,,0,0,0,0,0,0
2022/12/21,,,,0,0,0,0,0,0
2022/12/22,,,,0,0,0,0,0,0
2022/12/23,,,,0,0,0,0,0,0
2022/12/24,,,,0,0,0,0,0,0
2022/12/25,,,,0,0,0,0,0,0
2022/12/26,23536.40694,24197.77574,51674.48348,1,1,1,1,1,1
2022/12/27,,,,0,0,0,0,0,0
2022/12/28,,,,0,0,0,0,0,0
2022/12/29,,,,0,0,0,0,0,0
2022/12/30,,,,0,0,0,0,0,0
2022/12/31,,,,0,0,0,0,0,0
2023/1/1,,,,0,0,0,0,0,0
2023/1/2,20676.26787,55284.21628,39004.472,1,1,1,1,1,1
2023/1/3,23468.73422,24291.46794,24425.73323,1,1,1,1,1,1
2023/1/4,,52610.58539,,0,1,0,0,1,0
2023/1/5,12066.54757,16757.63029,21939.03784,1,1,1,1,1,1
2023/1/6,,,,0,0,0,0,0,0
2023/1/7,,,,0,0,0,0,0,0
2023/1/8,31275.15677,10029.08233,40369.05651,1,1,1,1,1,1
2023/1/9,,41431.32493,,0,1,0,0,1,0
2023/1/10,6754.10529,16272.69514,11441.11827,1,1,1,1,1,1
2023/1/11,,,,0,0,0,0,0,0
2023/1/12,15632.00244,17681.72314,14728.32672,1,1,1,1,1,1
2023/1/13,,,,0,0,0,0,0,0
2023/1/14,,,,0,0,0,0,0,0
2023/1/15,500,22289.04011,2532.527143,1,1,1,0,1,1
2023/1/16,,,,0,0,0,0,0,0
2023/1/17,18318.88925,6234.83781,12168.8688,1,1,1,1,1,1
2023/1/18,,,,0,0,0,0,0,0
2023/1/19,6023.912126,9085.09177,7874.53661,1,1,1,1,1,1
2023/1/20,,,,0,0,0,0,0,0
2023/1/21,,,,0,0,0,0,0,0
2023/1/22,8216.613895,5674.641606,4992.068631,1,1,1,1,1,1
2023/1/23,,,,0,0,0,0,0,0
2023/1/24,13430.49638,10129.32675,7500.429633,1,1,1,1,1,1
2023/1/25,,,,0,0,0,0,0,0
2023/1/26,,,,0,0,0,0,0,0
2023/1/27,9824.862595,8952.198336,6664.658968,1,1,1,1,1,1
2023/1/28,,,,0,0,0,0,0,0
2023/1/29,8029.10876,5488.58337,8717.464365,1,1,1,1,1,1
2023/1/30,,,,0,0,0,0,0,0
2023/1/31,500,5452.429192,7550.017557,1,1,1,0,1,1
2023/2/1,,,,0,0,0,0,0,0
2023/2/2,2971.863006,16865.05838,500,1,1,1,1,1,0
2023/2/3,,,,0,0,0,0,0,0
2023/2/4,,,,0,0,0,0,0,0
2023/2/5,500,18101.78329,500,1,1,1,0,1,0
2023/2/6,,,,0,0,0,0,0,0
2023/2/7,500,500,500,1,1,1,0,0,0
2023/2/8,,,,0,0,0,0,0,0
2023/2/9,4261.779019,4027.665397,500,1,1,1,1,1,0
2023/2/10,,,,0,0,0,0,0,0
2023/2/11,500,500,500,1,1,1,0,0,0
2023/2/12,,,,0,0,0,0,0,0
2023/2/13,,,,0,0,0,0,0,0
2023/2/14,500,500,8771.7851,1,1,1,0,0,1
2023/2/15,,,,0,0,0,0,0,0
2023/2/16,8531.363083,500,500,1,1,1,1,0,0
2023/2/17,,,,0,0,0,0,0,0
2023/2/18,,,,0,0,0,0,0,0
2023/2/19,500,500,500,1,1,1,0,0,0
2023/2/20,,,,0,0,0,0,0,0
2023/2/21,500,500,500,1,1,1,0,0,0
2023/2/22,,,,0,0,0,0,0,0
2023/2/23,500,500,500,1,1,1,0,0,0
2023/2/24,,,,0,0,0,0,0,0
2023/2/25,,,,0,0,0,0,0,0
2023/2/26,500,500,500,1,1,1,0,0,0
2023/2/27,,,,0,0,0,0,0,0
2023/2/28,,,,0,0,0,0,0,0
2023/3/1,,,,0,0,0,0,0,0
2023/3/2,500,500,500,1,1,1,0,0,0
2023/3/3,,,,0,0,0,0,0,0
2023/3/4,,,,0,0,0,0,0,0
2023/3/5,500,500,500,1,1,1,0,0,0
2023/3/6,,,,0,0,0,0,0,0
2023/3/7,500,500,500,1,1,1,0,0,0
2023/3/8,,,,0,0,0,0,0,0
2023/3/9,500,500,500,1,1,1,0,0,0
2023/3/10,,,,0,0,0,0,0,0
2023/3/11,,,,0,0,0,0,0,0
2023/3/12,500,500,500,1,1,1,0,0,0
2023/3/13,,,,0,0,0,0,0,0
2023/3/14,500,500,500,1,1,1,0,0,0
2023/3/15,,,,0,0,0,0,0,0
2023/3/16,500,500,500,1,1,1,0,0,0
2023/3/17,,,,0,0,0,0,0,0
2023/3/18,,,,0,0,0,0,0,0
2023/3/19,500,500,500,1,1,1,0,0,0
2023/3/20,,,,0,0,0,0,0,0
2023/3/21,,,,0,0,0,0,0,0
2023/3/22,,,,0,0,0,0,0,0
2023/3/23,5344.265262,500,500,1,1,1,1,0,0
2023/3/24,,,,0,0,0,0,0,0
2023/3/25,,,,0,0,0,0,0,0
2023/3/26,16424.24609,500,500,1,1,1,1,0,0
2023/3/27,,,,0,0,0,0,0,0
2023/3/28,500,500,500,1,1,1,0,0,0
2023/3/29,,,,0,0,0,0,0,0
2023/3/30,500,500,500,1,1,1,0,0,0
2023/3/31,,,,0,0,0,0,0,0
2023/4/1,,,,0,0,0,0,0,0
2023/4/2,500,500,500,1,1,1,0,0,0
2023/4/3,,,,0,0,0,0,0,0
2023/4/4,500,3892.453489,500,1,1,1,0,1,0
2023/4/5,,,,0,0,0,0,0,0
2023/4/6,500,500,6612.251501,1,1,1,0,0,1
2023/4/7,,,,0,0,0,0,0,0
2023/4/8,,,,0,0,0,0,0,0
2023/4/9,500,500,4364.90513,1,1,1,0,0,1
2023/4/10,,,,0,0,0,0,0,0
2023/4/11,500,500,500,1,1,1,0,0,0
2023/4/12,,,,0,0,0,0,0,0
2023/4/13,500,500,500,1,1,1,0,0,0
2023/4/14,,,,0,0,0,0,0,0
2023/4/15,,,,0,0,0,0,0,0
2023/4/16,500,500,500,1,1,1,0,0,0
2023/4/17,,,,0,0,0,0,0,0
2023/4/18,,500,500,0,1,1,0,0,0
2023/4/19,500,,,1,0,0,0,0,0
2023/4/20,,,,0,0,0,0,0,0
2023/4/21,,,,0,0,0,0,0,0
2023/4/22,,,,0,0,0,0,0,0
2023/4/23,,,,0,0,0,0,0,0
2023/4/24,,,,0,0,0,0,0,0
2023/4/25,500,500,500,1,1,1,0,0,0
2023/4/26,,,,0,0,0,0,0,0
2023/4/27,500,4773.884693,500,1,1,1,0,1,0
2023/4/28,,,,0,0,0,0,0,0
2023/4/29,,,,0,0,0,0,0,0
2023/4/30,500,500,500,1,1,1,0,0,0
2023/5/1,,,,0,0,0,0,0,0
2023/5/2,500,500,500,1,1,1,0,0,0
2023/5/3,,,,0,0,0,0,0,0
2023/5/4,500,500,500,1,1,1,0,0,0
2023/5/5,,,,0,0,0,0,0,0
2023/5/6,,,,0,0,0,0,0,0
2023/5/7,500,500,500,1,1,1,0,0,0
2023/5/8,,,,0,0,0,0,0,0
2023/5/9,500,500,500,1,1,1,0,0,0
2023/5/10,,,,0,0,0,0,0,0
2023/5/11,500,500,500,1,1,1,0,0,0
2023/5/12,,,,0,0,0,0,0,0
2023/5/13,,,,0,0,0,0,0,0
2023/5/14,,,,0,0,0,0,0,0
2023/5/15,,,,0,0,0,0,0,0
2023/5/16,500,500,500,1,1,1,0,0,0
2023/5/17,,,,0,0,0,0,0,0
2023/5/18,500,,500,1,0,1,0,0,0
2023/5/19,,,,0,0,0,0,0,0
2023/5/20,,,,0,0,0,0,0,0
2023/5/21,500,500,500,1,1,1,0,0,0
2023/5/22,,,,0,0,0,0,0,0
2023/5/23,500,500,500,1,1,1,0,0,0
2023/5/24,,,,0,0,0,0,0,0
2023/5/25,500,500,500,1,1,1,0,0,0
2023/5/26,,,,0,0,0,0,0,0
2023/5/27,,,,0,0,0,0,0,0
2023/5/28,,500,500,0,1,1,0,0,0
2023/5/29,500,,,1,0,0,0,0,0
2023/5/30,,500,500,0,1,1,0,0,0
2023/5/31,500,,,1,0,0,0,0,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
